KPI,P10,P25,P50,P75,P90,Mean,Std
return_on_equity_pct,15.797288098044476,15.797288098044476,15.797288098044476,15.797288098044476,17.698769290877124,16.48058160739281,4.779675525938704
debt_to_equity,0.0025941975815990856,0.041250987061372035,0.38539770662275724,1.6685198185803718,6.438637545644947,1.623850499381489,2.8266964264727568
revenue_cagr_5yr,5.899633273673062,8.462029223288658,12.029339915118054,17.279172148013195,21.077058378526594,12.998293806759186,7.355939246189186
fcf_cagr_5yr,-8.136975395510902,0.0,0.0,13.654845829941193,30.622369651894232,8.0764775091488,29.804416912270746
operating_profit_margin_pct,13.956834532374101,40.154298741775634,40.154298741775634,40.154298741775634,40.154298741775634,37.57870758737848,11.502047175953017
net_profit_margin_pct,11.838691788970145,14.409973596315066,17.751589641598088,22.98748777675499,29.237825257196178,19.29682355924809,7.530297066691499
interest_coverage,100.0,100.0,100.0,100.0,100.0,91.07100357244575,28.027787782118367
asset_turnover,0.0697998551747779,0.07153782236255685,0.0720367478374617,0.08884228106460039,1.0046741629218334,0.32240457144539647,0.5180100137878406
free_cash_flow_cr,-18665.7,-12806.75,3967.0,13108.75,19907.299999999996,1857.4,19407.69326381222
earnings_per_share,16.1,42.75,75.5,83.25,94.3,64.7,34.098061202622326
